"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1781530113622044964","Sat Apr 20 03:47:32 +0000 2024","0","@vidio muncul iklan secara terus menerus pada akun gratis. Apa memang seperti ini jika akun gratis? https://t.co/Dl4jLgdkXT","1781530113622044964","https://pbs.twimg.com/ext_tw_video_thumb/1781530025797578753/pu/img/IMTdhfYvCS6oBX1_.jpg","vidio","in","","0","0","0","https://twitter.com/Deektra/status/1781530113622044964","1106891219437641728","Deektra"
"1781322139389620374","Fri Apr 19 14:05:47 +0000 2024","0","@vidio walah dalah. kalo diamond?","1781323312720953469","","vidio","in","","0","1","0","https://twitter.com/MadPandazx/status/1781323312720953469","1408542962963779584","MadPandazx"
"1781322139389620374","Fri Apr 19 14:01:08 +0000 2024","0","@vidio min kalo beli platinum apakah sudah termasuk dengan spotv? terimakasih","1781322139389620374","","vidio","in","","0","1","0","https://twitter.com/MadPandazx/status/1781322139389620374","1408542962963779584","MadPandazx"
"1781310090777342406","Fri Apr 19 13:13:15 +0000 2024","0","@vidio play off nba ditayangin gk min? Kalo iya mau beli paket nih","1781310090777342406","","vidio","in","DKI Jakarta, Indonesia","0","1","0","https://twitter.com/ibungdian/status/1781310090777342406","1712664672","ibungdian"
"1781253822658367563","Fri Apr 19 12:39:22 +0000 2024","0","@vidio Sdh DM ya","1781301563182678368","","vidio","in","","0","0","0","https://twitter.com/3vi02/status/1781301563182678368","1532136577539121153","3vi02"
"1779512483046473885","Sun Apr 14 14:11:50 +0000 2024","0","@vidio yaudah dah makasih jawabannya mba","1779512895321387062","","vidio","in","","0","0","0","https://twitter.com/aarifqiii/status/1779512895321387062","1228121704469188611","aarifqiii"
"1779512483046473885","Sun Apr 14 14:10:12 +0000 2024","0","@vidio gamau nayangin lakers apa gimana dah?","1779512483046473885","","vidio","in","","0","1","0","https://twitter.com/aarifqiii/status/1779512483046473885","1228121704469188611","aarifqiii"
"1779503945121198590","Sun Apr 14 13:36:16 +0000 2024","0","@vidio kok sekarang saya jadi tidak bisa nonton konten-konten paket platinum di henpon saya? Tapi nonton di smart TV bisa. Padahal masa langganan masih aktif. https://t.co/GzqKuAnqDP","1779503945121198590","https://pbs.twimg.com/media/GLIRZyWbEAAZLgS.jpg","vidio","in","Jakarta","0","1","0","https://twitter.com/robertdenura/status/1779503945121198590","69583029","robertdenura"
"1779191523885908177","Sat Apr 13 17:06:45 +0000 2024","0","@vidio males gue DM udah DM yg bales yg cs yg lain2 lagi. liat aja yg bales ini juga beda lagi.","1779194525292101971","","vidio","in","GMT +7","0","1","0","https://twitter.com/ininawawi/status/1779194525292101971","978623343577321472","ininawawi"
"1779191523885908177","Sat Apr 13 16:54:49 +0000 2024","0","@vidio udah langganan malah bayar 2x. tapi engga bisa. bagaimana nihhh? https://t.co/6zbam7lBl6","1779191523885908177","https://pbs.twimg.com/media/GLD1Qb4bIAASXtU.jpg","vidio","in","GMT +7","0","1","0","https://twitter.com/ininawawi/status/1779191523885908177","978623343577321472","ininawawi"
"1779186505204060242","Sat Apr 13 16:38:53 +0000 2024","0","@vidio Ok cek dm min","1779187511593705655","","vidio","in","","0","1","0","https://twitter.com/Bluebliblo/status/1779187511593705655","1239148722325344260","Bluebliblo"
"1779186505204060242","Sat Apr 13 16:34:53 +0000 2024","0","@vidio ini knp dhhhhhh kok loading2 mulu streaming di aplikasi lain lancar pdhl","1779186505204060242","","vidio","in","","0","1","0","https://twitter.com/Bluebliblo/status/1779186505204060242","1239148722325344260","Bluebliblo"
"1779115013741187539","Sat Apr 13 11:50:48 +0000 2024","0","@vidio cek dm min","1779115013741187539","","vidio","in","Zurich, Switzerland","0","1","0","https://twitter.com/hmbhay/status/1779115013741187539","565162548","hmbhay"
"1779097149848146057","Sat Apr 13 10:39:49 +0000 2024","0","@vidio min baru langganan tapi gabisa nonton. cdm ya.","1779097149848146057","","vidio","in","diary  of  a  princess","0","1","0","https://twitter.com/wotlly/status/1779097149848146057","1495795327","wotlly"
"1778805554741404016","Fri Apr 12 15:21:07 +0000 2024","0","@vidio halo min aku udh beli paket langganan tapi kok ga bisa diakses?","1778805554741404016","","vidio","in","","0","1","0","https://twitter.com/nulaipe/status/1778805554741404016","1696546520836067328","nulaipe"
"1778503206353711115","Thu Apr 11 19:22:23 +0000 2024","0","@vidio cek dm min","1778503883775750508","","vidio","in","Milano, Lombardia","0","1","0","https://twitter.com/waahyun/status/1778503883775750508","97628332","waahyun"
"1778191006137262334","Wed Apr 10 22:44:36 +0000 2024","0","@vidio bls yah","1778192384435818854","","vidio","in","","0","1","0","https://twitter.com/anyrsxv/status/1778192384435818854","1677705278123548673","anyrsxv"
"1778191006137262334","Wed Apr 10 22:39:07 +0000 2024","0","@vidio tolong dong ini kenapa ya baru bgt login mau nntn gabisa udh coba uninstal dan clear chace ttp gabisaa https://t.co/kVSDrEYoog","1778191006137262334","https://pbs.twimg.com/media/GK1nS27bIAQavrN.jpg","vidio","in","","0","1","0","https://twitter.com/anyrsxv/status/1778191006137262334","1677705278123548673","anyrsxv"
