created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Jan 28 04:44:47 +0000 2024;1751466328026943922;"@SiaranBolaLive Mainnya macem timnas indonesia sblm era sty";0;0;0;0;in;1069058628580077568;1751415471449280643;nasri_725;https://twitter.com/nasri_725/status/1751466328026943922
Sun Jan 28 03:14:23 +0000 2024;1751443578411466893;"Sy kok punya keyakinan besar utk timnas nanti malem, harusnya mainnya nyantai ya tanpa beban";0;0;0;0;in;222947936;1751443578411466893;morediii;https://twitter.com/morediii/status/1751443578411466893
Sun Jan 28 02:29:43 +0000 2024;1751432336582037709;"@theflankerID sebenernya lebih ngeri lawan Australi yang ga terlalu pressing gini mainnya, karena Timnas sejauh ini secara taktikal selalu counter strat lawan dan pertahanan timnas sangat rawan ditembus karena bakal terciptanya ruang antar lini yang dimanfaatkan kecepatan lawan 👀";1;0;0;0;in;156590793;1751411549904744530;ikhsanrdn;https://twitter.com/ikhsanrdn/status/1751432336582037709
Sun Jan 28 02:23:12 +0000 2024;1751430694579179829;"@Goldmind_82 @persebayaupdate Mestine kan yo buanggaa yo ono pemain e sing iso kiprah nang timnas opo maneh dikelilingi pemain2 naturalisasi iki nando Lokal pret sing termasuk sukses tembus Tim utama di era STY. Tim media persebaya kurang jauh mainnya Dan gak greget sama sekali disaat org lagi demam AFC 2024";0;0;0;2;in;255540658;1751351719278358652;dbjobindo;https://twitter.com/dbjobindo/status/1751430694579179829
Sun Jan 28 01:51:17 +0000 2024;1751422663053193560;"Timnas day!! Bodo amat resultnya yg penting semangat mainnya.";0;0;0;0;in;66542749;1751422663053193560;OghieGigs;https://twitter.com/OghieGigs/status/1751422663053193560
Sun Jan 28 01:24:18 +0000 2024;1751415874060452222;"@PorosHalangID Orang di rekrut main bagus di timnas ini onani dahlah, kebantu bek inter dulu sama pas di ajax gaya mainnya ga kayak epl jadi ya keliahatannya mewah pas di epl 🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡";0;1;0;0;in;1473912820077006848;1751392975568159110;ftkhrgood;https://twitter.com/ftkhrgood/status/1751415874060452222
Sun Jan 28 01:16:30 +0000 2024;1751413911784739119;"@VIVAcoid trus percaya kemarin ujan²an main bola mau semangati timnas ?  mainnya sudah sangat kotor ini 😪";0;0;0;0;in;1613367553266708480;1751399993968386516;rocketpler;https://twitter.com/rocketpler/status/1751413911784739119
Sat Jan 27 20:59:24 +0000 2024;1751349208945426833;"@GOAL_ID Yang bikin heran, timnas palestina itu kalo TC timnasnya buat Asia Cup dimana ya? Kok mainnya bisa jago bgt sampe lolos 16 besar loh. Padahal negaranya lagi konflik, liganya berhenti, apalagi pembinaannya kayaknya malah ga sempat. Gitu gimana ya🤔";0;2;0;0;in;736393176;1751134525214872029;dafayanuar13;https://twitter.com/dafayanuar13/status/1751349208945426833
Sat Jan 27 18:23:48 +0000 2024;1751310050646520142;"@barcastuff_idn Kalo gini mainnya, lawan timnas indonesia sekarang bisa bisa kalah juga sama indonesia";0;0;0;0;in;1187669508472754176;1751309123423981676;mas_putra96;https://twitter.com/mas_putra96/status/1751310050646520142
Sat Jan 27 17:24:43 +0000 2024;1751295181834670238;"@idextratime @bliblidotcom Bagi gw mah lolos 16 besar udah cukup banget utk saat ini, cuman berharap aja timnas mainnya nothing to lose apapun hasilnya nanti";0;0;0;0;in;1180881967497138177;1751217876030406802;reixyz_;https://twitter.com/reixyz_/status/1751295181834670238
Sat Jan 27 15:08:26 +0000 2024;1751260884188705026;"@zegori_ STY Stay !!  Alhamdulillah Timnas Indonesia bisa lolos 16 besar walaupun harus menunggu di injury time 😭kesempatan ini Wajib dimaksimalkan, mainnya harus lebih semangat lagi, apapun hasilnya yg penting udah berusaha.. semoga bisa lanjut ke 8 besar";0;0;0;0;in;80304629;1750898047654228445;untumusumuk;https://twitter.com/untumusumuk/status/1751260884188705026
Sat Jan 27 14:20:31 +0000 2024;1751248827980578929;"Menurut Pratama Arhan, persiapan timnas Indonesia sudah cukup baik dan siap memberikan perlawanan sengit untuk Australia di babak 16 besar Piala Asia 2023. Tunggu tanggal mainnya besok! 🇮🇩🇦🇺 #AsianCup2023 https://t.co/6Mv9nabE0X";0;0;0;0;in;626306017;1751248827980578929;tribunSUPERBALL;https://twitter.com/tribunSUPERBALL/status/1751248827980578929
Sat Jan 27 14:15:25 +0000 2024;1751247544104185956;"Menurut Pratama Arhan, persiapan timnas Indonesia sudah cukup baik dan siap memberikan perlawanan sengit untuk Australia di babak 16 besar Piala Asia 2023. Tunggu tanggal mainnya besok! 🇮🇩🇦🇺 #AsianCup2023 https://t.co/7Y35vJjCuC";0;18;0;1;in;78239324;1751247544104185956;BolaSportcom;https://twitter.com/BolaSportcom/status/1751247544104185956
Sat Jan 27 13:55:30 +0000 2024;1751242530161938792;"@medioclubID Keknya kalopun timnas sampe juara tetep aja dinyinyirin. "Apaan difinal gitu doang ga banget mainnya, coba lihat manchester city enak bgt mainnya sampe bisa juara UCL. STY mana bisaaa~~~"";0;0;0;0;in;1016257174962499584;1750892598758400452;sayaprofesor;https://twitter.com/sayaprofesor/status/1751242530161938792
Sat Jan 27 12:33:53 +0000 2024;1751221989472375245;"@utdfocusid @bliblidotcom Dia berharapnya mainnya timnas ni kek city kali ya, apa dia nggak nonton pemain passing 5 meter aja gabisa terus nyalahin pelatih?";0;0;0;0;in;1643136756890636289;1751161227555049663;kenthongz;https://twitter.com/kenthongz/status/1751221989472375245
Sat Jan 27 11:40:27 +0000 2024;1751208543007703551;"@utdfocusid @bliblidotcom Pikir dia timnas kita mainnya wajib kayak barca eranya pep guardiola, main tiki taka futball 90% ball posession , EMG GOBLOKK DIA MAH";0;0;0;2;in;1574299135754194944;1751161227555049663;StanXwan;https://twitter.com/StanXwan/status/1751208543007703551
Sat Jan 27 10:37:09 +0000 2024;1751192612676248027;"anjing si towel kocok ini maunya apa, kasi aku satu pelatih lokal pret yg bisa bawak timnas sejauh skrg dan semenarik skrg gameplaynya. kau bandingkan aja sendiri cmn mainnya bbrp tahun lalu yg cuman ngandelin longball abistu ilang bola";0;0;0;0;in;1206208208483696641;1751192612676248027;dumbassromeo;https://twitter.com/dumbassromeo/status/1751192612676248027
Sat Jan 27 10:19:00 +0000 2024;1751188047243419959;"@TioFarizki @FaktaSepakbola Selama nggak menghujat semua orang bebas beropini. Emangnya menurut ente Egy/Witan mainnya udah bagus? Wajar lah mempertanyakan keputusan pelatih. Pro kontra tuh biasa. Bukan timnas doang, klub mana pun fansnya juga sering kritik.";0;1;0;2;in;135417719;1751173060668150255;Banumustafa24;https://twitter.com/Banumustafa24/status/1751188047243419959
Sat Jan 27 09:19:42 +0000 2024;1751173122018172994;"@garagarabola_ Australia tdk secepat dan sekuat pemain jepang moga timnas bisa lbh lepas mainnya";0;0;0;0;in;1221862934705369088;1751106606430114106;zafran_77;https://twitter.com/zafran_77/status/1751173122018172994
Sat Jan 27 08:53:28 +0000 2024;1751166521186058540;"Agenda atau nggak, yang jelas sekarang timnas mainnya lebih bagus daripada era-era sebelumnya walau belum stabil. Kekurangan sdm. Cuman yah... liga lokalnya aja keok sama liga filipina mau gimana cari pemain yg bagus? Naturalisasi pun pemain standar di liga luar sana";0;0;0;0;in;1633039800562483200;1751166521186058540;N4siG0rengKec4p;https://twitter.com/N4siG0rengKec4p/status/1751166521186058540
Sat Jan 27 06:21:50 +0000 2024;1751128363530694708;"@SiaranBolaLive Cakep bener mainnya. Timnas harus bs serileks ini mainnya nanti lawan Australia. Pertahankan bola selama mungkin. Atur tempo. Kita pasti bisa ✊";0;0;0;1;in;70059895;1751108372575981886;erryfreakz;https://twitter.com/erryfreakz/status/1751128363530694708
Sat Jan 27 05:47:47 +0000 2024;1751119793892344272;"@PedesCilor @idextratime Iya supporter irak sj sempat diam pas 1-1,kalau jepang kt berhasil menahan serangan bisa lebih 5 gol itu kalau Timnas mainnya jelek..makanya posisi Timnas Masih ada di 3 terbaik..bukan karena giveaway Timnas lolos 16 besar";0;0;0;0;in;1610347372147806209;1750891565000867886;farid15sofyan;https://twitter.com/farid15sofyan/status/1751119793892344272
Sat Jan 27 05:12:53 +0000 2024;1751111009446867092;"@Justanopinion26 @SubacEverywhere @SiaranBolaLive Sy orang awam bola setahu Sy timnas jadul mainnya dari belakang langsung long Ball ke depan. Jarang mau pegang bola. Sy lihat di era STY dia terapkan main main pendek, enak gitu. Itu gol marselino berawal dari intersep Arhan. Yg disebut filosofi towel Gimana";0;2;0;2;in;733320043547660289;1750908307370651821;davidrnugroho;https://twitter.com/davidrnugroho/status/1751111009446867092
Sat Jan 27 05:00:13 +0000 2024;1751107820643348940;"🧑‍🏫 "…. Tapi udah bagus timnas mainnya. Udah capai target juga kan 16 besar piala asia. Apalagi yang musti dikritik?"  🧑‍🦲 "Aah kontrakmu untuk negative speech masih sampe Juni, ayo cari lagi celahnya"  ----------------  Emang susah ya bung jadi komentator bola kalo perut lapar 🤣";0;0;0;0;in;436323217;1751107820643348940;Fahmish__;https://twitter.com/Fahmish__/status/1751107820643348940
Sat Jan 27 02:20:16 +0000 2024;1751067568646041999;"@SiaranBolaLive Perasaan ni anak selalu langganan masuk timnas ya, tapi aneh banget mainnya kemarin, bola lepas muluk";0;0;0;0;in;1483267359062507525;1750893578111590909;rully_1996;https://twitter.com/rully_1996/status/1751067568646041999
Sat Jan 27 01:41:24 +0000 2024;1751057790452555784;"@PENJUALMIRAZ @Indostransfer Tapi jujur ya,  Arhan itu kayak jimat pembawa keberuntungan karena kemampuan lemparannya.  Semenjak dia masuk timnas, sejelek apa pun mainnya timnas kalau dapet momen lemparan ke dalam kayak ada harapan buat goal gitu wkwk.";0;2;0;16;in;1064727429158031361;1751030860391018555;ibalbul13;https://twitter.com/ibalbul13/status/1751057790452555784
Sat Jan 27 01:14:42 +0000 2024;1751051068044382678;"Bukan soal kalahnya. Lebih ke SDM. Lihat Thailand mainnya sudah kayak paham taktik dan strategi, dan kompak. Lha pemain Timnas, lihat kurang paham memahami taktik. Kurang kompak nyerang dan bertahannya. Koreksi Timnas U-20.  Mental tandang wajib sering di asah.   #Semangat #PSSI";0;0;0;0;in;1109508925496283136;1751051068044382678;mahargiantos;https://twitter.com/mahargiantos/status/1751051068044382678
Sat Jan 27 00:59:40 +0000 2024;1751047284467638290;"@rantkenz @garagarabola_ Bener juga sih yg ini Dulu tiap nonton timnas selalu berharap aja bisa menang tp yauda sekedar berharap dan doain yg terbaik. Tapi kita dalem hati tau, pasti timnas ya gitu ga mungkin menang dan mainnya monoton gitu2 aja..  Sejak sty, selalu yakin Indonesia bisa bikin kejutan wkw";0;0;0;0;in;2595527053;1750716040416551246;cwchiill;https://twitter.com/cwchiill/status/1751047284467638290
Fri Jan 26 23:19:58 +0000 2024;1751022195206394304;"@asdgfhjklmn @SiaranBolaLive syamsir kalo ga salah dulu lumayan bagus mainnya. sempat digadang2 jadi calon bintang masa depan timnas senior. eh tiba2 dia ngilang  dan malah jadi presenter padahal umurnya masih sangat muda";0;2;0;12;in;536181293;1750893578111590909;FcerberusF;https://twitter.com/FcerberusF/status/1751022195206394304
Fri Jan 26 22:58:47 +0000 2024;1751016865827262487;"@Indostransfer Yanto sbnarnya dri dulu pngen liat di timnas lg. dari dia di persib, mskipun aff disoroti krn blunder, tp suka bgt sma pemain ini. tinggi 183, balance bagus, ditambah klo udh diprcya di liga thailand yg skrg brati emang top mainnya. dia dlu sring masuk line up terbaik mingguan jg";0;0;0;2;in;1491351936809205762;1750801928509153379;AndresCucut;https://twitter.com/AndresCucut/status/1751016865827262487
Fri Jan 26 17:17:37 +0000 2024;1750931008697082054;"@medioclubID Dia pengen timnas mainnya kaya Barcelona era 2009-2013, ini decul emang rada-rada. Dia ga bakal ngerti esensinya dukung tim medioker";0;0;0;0;in;1604575491478126594;1750892598758400452;setyadinhoFM;https://twitter.com/setyadinhoFM/status/1750931008697082054
Fri Jan 26 17:08:00 +0000 2024;1750928587098890708;"Ngga bagus mainnya, kaya orang bingung, ngga ngerti gw kenapa bisa masuk timnas, no 10 pula 😅";0;1;0;1;in;80493203;1750928587098890708;JSTKH3;https://twitter.com/JSTKH3/status/1750928587098890708
Fri Jan 26 15:56:09 +0000 2024;1750910505194242067;"@indosupporter ini keknya perlu diganti pelatihnya, kalo mainnya dan taktikal kyk gini mah boro2 deketin permainan timnas senior";0;0;1;0;in;1197315999772528640;1750889263057850566;fiterasii;https://twitter.com/fiterasii/status/1750910505194242067
Fri Jan 26 15:32:33 +0000 2024;1750904564608635337;"@SiaranBolaLive Dari timnas U-16 sampe sekarang masuk U-20 ini pemain mainnya masih kebingungan.";0;3;0;118;in;1197714737863127040;1750893578111590909;Oktvnfh;https://twitter.com/Oktvnfh/status/1750904564608635337
Fri Jan 26 15:10:25 +0000 2024;1750898998075072648;"@SiaranBolaLive Nih orang misal Indonesia lolos 8 besar, sekali pun menang lawan Australia lewat adu penalti dia akan tetap jadi pengamat haters, dia pengen mainnya timnas ala Barcelona.. Seharusnya orang kayak gini STOP kasih panggung, ntar sepi gak ada job biar dia ngemis-ngemis ke stasiun TV";0;5;0;5;in;1200764949452058625;1750898066532741565;VerdiyanAditya;https://twitter.com/VerdiyanAditya/status/1750898998075072648
Fri Jan 26 14:29:21 +0000 2024;1750888661057712329;"Ini timnas U-20 keliatan banget posessionnya mendominasi Thailand, eh malah kalah 😅 thailand santai aja mainnya.. ngk grusak grusuk tpi jelas visinya. Timnas tiap depan gawang bingung mau diapain bolanya.. Ji Da Bin banyak blunder 🥲";0;2;0;1;in;90833354;1750888661057712329;FebriPratama50;https://twitter.com/FebriPratama50/status/1750888661057712329
Fri Jan 26 14:25:27 +0000 2024;1750887680781738432;"timnas yg ini beda ya mainnya kalo diliat 😂";0;0;0;1;in;238478321;1750887680781738432;jajijujejohan;https://twitter.com/jajijujejohan/status/1750887680781738432
Fri Jan 26 14:24:52 +0000 2024;1750887532920000832;"@kurawa Ga paham main bola bicara main bola... Tim nas main masih kayak tarkam mau main di piala dunia, ..ngimpi lu  kelamaan...bangun woi...lihat tuh mainnya Timnas vs Thailand...baru koment. ...!";0;0;0;1;in;1109811744317202432;1750701388575994047;SMangkudilaga;https://twitter.com/SMangkudilaga/status/1750887532920000832
Fri Jan 26 14:24:12 +0000 2024;1750887365324034126;"timnas u 20 mainnya kyak";0;1;0;0;in;110869549;1750887365324034126;strayshp;https://twitter.com/strayshp/status/1750887365324034126
Fri Jan 26 14:17:54 +0000 2024;1750885781533802683;"Busuk mainnya timnas U20, anehnya kok pelatihnya Indra S masih dipertahankan, seperti melihat timnas tahun 2000 an";0;0;0;0;in;255893778;1750885781533802683;KH4P03R;https://twitter.com/KH4P03R/status/1750885781533802683
Fri Jan 26 13:55:35 +0000 2024;1750880165285318670;"Timnas U20 mainnya jelek banget";0;0;0;0;in;200505761;1750880165285318670;abiennovan;https://twitter.com/abiennovan/status/1750880165285318670
Fri Jan 26 13:55:09 +0000 2024;1750880056711463082;"@PokoknyaItuDahh @FT_IDN Bener ini. Emang bikin emosi bgt 2 orang ini. STY berhasil balikin animo suporter timnas dg penuh gairah lg setelah sebelumnya males nonton krn mainnya lemes, long ball trus, pemain itu2 aja dan kalahan!";0;0;0;0;in;77702975;1750761988761006485;fabianjrit;https://twitter.com/fabianjrit/status/1750880056711463082
Fri Jan 26 13:50:42 +0000 2024;1750878935779594573;"@reddroopyeyes @PokoknyaItuDahh @FT_IDN Moriyasu waktu awal² di Jepang itu masih bapuk utk ukuran timnas papan atas Asia kek Jepang. cuma menang 1-0 lawan tim yang ga begitu kek Vietnam (itupun karena pinalti), mainnya lumayan jelek di fase grup sampai KO stage";0;0;0;1;in;1683425076073603072;1750761988761006485;Nathanaels1611;https://twitter.com/Nathanaels1611/status/1750878935779594573
Fri Jan 26 13:22:14 +0000 2024;1750871770859782215;"Keren banget Timnas U20 mainnya. Sepakbola modern, ga ada lagi crossing2 melambung ga jelas";0;0;0;0;in;433906172;1750871770859782215;PandirTelo;https://twitter.com/PandirTelo/status/1750871770859782215
Fri Jan 26 13:19:41 +0000 2024;1750871129227661656;"Kemarin liat timnas senior mainnya keren passing bener sekarang liat u20 mainnya bego tai ancur ancuran passing gak ada yang bener semua bego";0;0;0;0;in;1200379394797142017;1750871129227661656;zidhanhikmawaan;https://twitter.com/zidhanhikmawaan/status/1750871129227661656
Fri Jan 26 13:13:45 +0000 2024;1750869637661884673;"Timnas Indonesia U20 ini mainnya bagus banget lho, Thailand ga dikasih nyerang sama sekali.";0;1;0;2;in;274532930;1750869637661884673;ramadhantahta;https://twitter.com/ramadhantahta/status/1750869637661884673
Fri Jan 26 13:10:19 +0000 2024;1750868772528005238;"bagus anjir mainnya timnas u20";0;0;0;0;in;1271066837741006853;1750868772528005238;abcdexot9_;https://twitter.com/abcdexot9_/status/1750868772528005238
Fri Jan 26 13:01:46 +0000 2024;1750866621084893560;"jadi dulu pas gua kecil gua pernah ga sengaja nonton timnas kyrgyztan main. pas itu gua liat ini timnas kyrgyztan mainnya bagus banget. semenjak itu gua jadi suka sepak bola dan gua jadi fans timnas kyrgyztan";0;0;0;3;in;1642255094954741760;1750866621084893560;smiidddd;https://twitter.com/smiidddd/status/1750866621084893560
Fri Jan 26 12:59:22 +0000 2024;1750866017461665965;"Timnas Indonesia U20 ini mainnya asyik banget.";0;0;0;0;in;78928877;1750866017461665965;hadiwijayaadit;https://twitter.com/hadiwijayaadit/status/1750866017461665965
Fri Jan 26 12:51:45 +0000 2024;1750864100115284328;"Timnas U20 mainnya jago banget, Thailand gak di kasih pegang bola 😭";0;0;0;0;in;1683460460;1750864100115284328;relawantuit;https://twitter.com/relawantuit/status/1750864100115284328
Fri Jan 26 12:47:01 +0000 2024;1750862908702269526;"No 11 nya Timnas Indonesia U20 bagus mainnya, kalau bisa improve terus mungkin bakal dipanggil ke tim senior dalam waktu dekat apalagi timnas lagi butuh striker  #TimnasDay #TimnasIndonesia";0;0;0;0;in;1270950227772452866;1750862908702269526;thenumber9king;https://twitter.com/thenumber9king/status/1750862908702269526
Fri Jan 26 12:45:55 +0000 2024;1750862633757270227;"liat afrizal dari debut ampe skrg performa nya konsisten bener dah di u20, enak bat mainnya, build up timnas jdi mulus karena dia naik turun posisi kiri";0;1;0;0;in;1236934924940095488;1750862633757270227;ridhoabdee_;https://twitter.com/ridhoabdee_/status/1750862633757270227
Fri Jan 26 12:45:31 +0000 2024;1750862529096827036;"Timnas u20 rapi bener mainnya";0;0;0;0;in;243999006;1750862529096827036;rezharejha;https://twitter.com/rezharejha/status/1750862529096827036
Fri Jan 26 12:45:12 +0000 2024;1750862453200900173;"@idextratime ETI lu ga nonton timnas u-20? cakep juga mainnya mereka";0;0;0;0;in;1394392292677459970;1750856179570614322;xxkkyx;https://twitter.com/xxkkyx/status/1750862453200900173
Fri Jan 26 12:35:30 +0000 2024;1750860010253647972;"@KABAR_CHELSEA Yang penting depannya efektif kaya kemarin. Sterling harus ubah gaya mainnya kaya kemarin. Gak usah egois lagi. Toh demi kebaikan dia juga. Sebentar lagi euro. Kalo konsisten pasti bakal dipanggil timnas lagi";0;0;0;0;in;1428594293090836481;1750762114904727680;Fadher_07;https://twitter.com/Fadher_07/status/1750860010253647972
Fri Jan 26 12:27:27 +0000 2024;1750857985684054172;"bulan maret udh WCQ round 2 loh di indo kalau rumput gbk masih gitu jelek bikin malu aja anjir, percuma stadium besar tapi mengelola rumput aja gabener.   tolong nanti maret timnas mainnya jangan mau di gbk rumput jelek parah, nonton timnas bayar tp klo rumput jelek ya rugi anjir";0;0;0;0;in;1683408537966477312;1750857985684054172;soleilkis;https://twitter.com/soleilkis/status/1750857985684054172
