,Unnamed: 0,singkatan,kata asal
279,,dipendem,dipendam 
280,,dirmh,di rumah 
281,,ditemenin,ditemani 
282,,djkt,di jakarta 
283,,djl,di jalan 
284,,djln,di jalan 
285,,dkat,dekat 
286,,dket,dekat 
287,,dkls,di kelas 
288,,dkmps,di kampus 
289,,dkmr,di kamar 
290,,dkntr,di kantor 
291,,dksh,dikasih 
292,,dkt,dekat 
293,,dl,dulu 
294,,dll,dan lain
295,,dlm,dalam 
296,,dlrng,dilarang 
297,,dlu,dulu 
298,,dluan,duluan 
299,,dmana,dimana 
300,,dmkn,dimakan 
301,,dmn,dimana 
302,,dmna,dimana 
303,,dmnmn,dimana-mana 
304,,dmny,dimananya 
305,,dng,dengan 
306,,dngar,dengar 
307,,dnger,dengar 
308,,dngerin,dengar 
309,,dngn,dengan 
310,,dngr,dengar 
311,,doang,saja 
312,,doank,saja 
313,,donlot,download 
314,,doyan,suka 
315,,dpan,depan 
316,,dpet,dapat 
317,,dpk,depok 
318,,dpkrkn,dipikirkan 
319,,dpn,depan 
320,,dpnrmh,depan rumah 
321,,dpt,dapat 
322,,dr,dari 
323,,drg,dokter gigi 
324,,drh,darah 
325,,dri,dari 
326,,drmh,di rumah 
327,,drmn,darimana 
328,,drpd,daripada 
329,,drtd,dari tadi
330,,drumah,di rumah
331,,dsb,dan sebagainya
332,,dsblh,di sebelah
333,,dsini,disini 
334,,dsklh,di sekolah
335,,dsni,di sini
336,,dst,dan seterusnya
337,,dtg,datang 
338,,dtgny,datangnya 
339,,dtmbh,ditambah 
340,,dtmpt,di tempat
341,,dtng,datang 
342,,duluw,dulu
343,,dy,dia 
344,,ea,ya
345,,eeq,feses 
346,,elo,kamu 
347,,emang,memang 
348,,emangnya,memangnya 
349,,emank,memang 
350,,emg,memang 
352,,emng,memang 
353,,engga,tidak 
354,,enggak,tidak 
355,,enk,enak 
356,,entar,nanti 
357,,ente,anda 
358,,eps,episode 
359,,eteb,bosan
360,,eug,saya
361,,faham,paham 
362,,fb,facebook 
363,,fav,favorit
364,,fave,favorit
365,,g,tidak
366,,ga,tidak 
368,,gaada,tidak ada
369,,gabisa,tidak bisa
370,,gaboleh,tidak boleh
371,,gabut,menganggur
372,,gada,tidak ada
373,,gaenak,tidak enak
374,,gajadi,tidak jadi
375,,gajelas,tidak jelas
376,,gak,tidak 
378,,gakuat,tidak kuat
379,,gakz,tidak
380,,galo,galau 
381,,gamasuk,tidak masuk
382,,gamau,tidak mau
383,,gapake,tidak pakai
384,,gapapa,tidak apa-apa
385,,gapernah,tidak pernah
386,,gapunya,tidak punya
387,,garem,garam 
388,,gasuka,tidak suka
389,,gatau,tidak tahu
390,,gataw,tidak tahu
391,,gatel,gatal 
392,,gausah,tidak usah
393,,gawe,kerja 
394,,gblk,goblok
395,,gbr,gambar 
396,,gdg,gudang 
397,,gembel,jelek 
398,,gengges,ganggu
399,,ghiy,lagi
400,,gi,lagi
401,,gilak,gila 
402,,gile,gila 
403,,gitu,begitu 
404,,gituan,begitu 
405,,gituh,begitu 
406,,gituin,itu 
407,,gk,tidak 
410,,gmana,bagaimana 
411,,gmbr,gambar 
412,,gmn,bagaimana 
413,,gmna,bagaimana 
414,,gmpg,gampang 
415,,gmpng,gampang 
416,,gni,begini 
417,,gnti,ganti 
418,,gpny,tidak punya
419,,gpp,tidak apa-apa
421,,gprnh,tidak pernah
422,,gr2,gara-gara 
423,,gratisan,gratis 
424,,gt,begitu 
425,,gtu,begitu 
426,,gtw,tidak tahu
427,,gua,saya 
428,,gue,saya 
430,,gw,saya 
432,,gws,get well soon
433,,gx,tidak
434,,hadeh,aduh 
435,,hapal,hafal
436,,haqq,hakiki 
437,,hargain,hargai 
438,,harini,hari ini
439,,hbd,happy birthday
440,,hbis,habis 
441,,hbng,hubungi 
442,,hbs,habis 
443,,hbskn,habiskan 
444,,helo,halo 
445,,heters,pembenci 
446,,hlg,hilang 
447,,hlm,halaman 
448,,hlmn,halaman 
449,,hny,hanya 
450,,hnya,hanya
451,,hqq,hakiki 
452,,hr,hari 
453,,hrg,harga 
454,,hrgny,harganya 
455,,hri,hari 
456,,hrs,harus 
457,,hrsny,harusnya 
458,,hrus,harus 
459,,hti,hati 
460,,hums,rumah
461,,humz,rumah
462,,huum,iya
463,,idiiot,idiot 
464,,idup,hidup
465,,ily,saya cinta kamu 
466,,inget,ingat 
467,,ingetin,ingatkan 
468,,ingt,ingat 
