,Unnamed: 0,singkatan,kata asal
1182,,tauk,tahu
1183,,taunya,tahunya 
1184,,td,tadu 
1185,,tdi,tadi 
1186,,tdk,tidak 
1188,,tdny,tadinya 
1189,,tdr,tidur 
1190,,tdur,tidur 
1191,,telor,telur 
1192,,telp,telepon
1193,,telpon,telepon 
1194,,temen,teman 
1195,,temen2,teman-teman 
1196,,temenin,temani 
1197,,tercyduk,terciduk
1198,,teriakk,teriak 
1199,,teros,terus 
1200,,tetep,tetap 
1201,,tgannya,tangannya 
1202,,tggu,tunggu 
1203,,tgh,tengah 
1204,,tgl,tanggal 
1206,,tgn,tangan 
1207,,tgs,tugas 
1208,,thd,terhadap 
1209,,thdp,terhadap 
1210,,thks,terima kasih
1211,,thn,tahun 
1212,,thnx,terima kasih
1213,,thx,terima kasih
1214,,tida,tidak 
1215,,tipi,tv 
1217,,tkut,tsayat 
1218,,tlg,tolong 
1219,,tlh,telah 
1220,,tlng,tolong 
1221,,tlp,telepon 
1222,,tlpn,telepon 
1223,,tamvan,tampan
1224,,tmbah,tambah 
1225,,tmbh,tambah 
1226,,tmen,teman 
1227,,tmn,teman 
1228,,tmpat,tempat 
1229,,tmpt,tempat 
1230,,tmsk,termasuk 
1231,,tnp,tanpa 
1232,,tnpa,tanpa 
1233,,tny,ternyata 
1234,,tnya,tanya 
1235,,tnyt,ternyata 
1236,,tp,tapi 
1238,,tpi,tapi 
1239,,tq,terima kasih
1240,,trdpt,terdapat 
1241,,trgntng,tergantung 
1242,,trims,terima kasih
1243,,trimz,terima kasih
1244,,trjadi,terjadi 
1245,,trkdng,terkadang 
1246,,trkhr,terakhir 
1247,,trlalu,terlalu 
1248,,trmksh,terima kasih
1249,,trmsk,termasuk 
1250,,trnsfr,transfer 
1251,,trnyata,ternyata 
1252,,trnyt,ternyata 
1253,,trs,terus 
1254,,trsrh,terserah 
1255,,trus,terus 
1256,,tsadeest,sadis
1257,,tsb,tersebut 
1258,,tsbt,tersebut 
1259,,ttep,tetap 
1260,,ttg,tentang 
1261,,ttp,tetap 
1262,,tu,itu 
1263,,tuch,itu
1264,,tukeran,tukar 
1265,,tumben,tidak biasa
1266,,tw,tahu 
1268,,u,kamu
1269,,ubat,obat 
1270,,ud,sudah 
1271,,uda,sudah 
1272,,udah,sudah 
1274,,udd,sudah
1275,,udeh,sudah 
1276,,udh,sudah 
1278,,uga,juga
1279,,ujan2an,hujan-hujanan 
1280,,untk,untuk 
1281,,utk,untuk 
1282,,von,telepon
1283,,w,saya
1284,,wa,saya
1285,,wad,buat
1286,,waduh,aduh 
1287,,wanjir,anjir 
1288,,wat,buat
1289,,wht,apa 
1290,,wkt,waktu 
1291,,wktu,waktu 
1292,,yaini,ya ini
1293,,yank,sayang 
1295,,yap,ya
1296,,yaudh,ya sudah
1297,,yaw,ya
1298,,yawda,ya sudah
1299,,yela,yailah 
1300,,yelah,yailah 
1301,,yg,yang 
1302,,yng,yang 
1303,,yodah,ya sudah
1304,,yoi,iya
1305,,yup,ya 
1306,,yups,ya
1307,,yupz,ya
1308,,ywdh,ya sudah
1309,,sbgmn,sebagaimana
1310,,btw,by the way
1312,,lol,laugh out loud
1313,,nnt,nanti
1314,,otw,on the way
1315,,pls,please
1316,,ppl,people
1329,,trmks,terima kasih
1332,,cuma,hanya
1346,,pas,waktu
1354,,wkwk,haha
1355,,xixixi,haha
1371,,pntg,penting
1374,,sj,saja
1377,,sdkt,sedikit
1380,,ktm,katanya
1382,,smp,selama
1385,,brkt,berangkat
1390,,sng,senang
1393,,trj,terjadi
1396,,psn,pesan
1397,,shrs,seharusnya
1401,,brng,barang
1402,,sg,segala
1405,,smt,biasa
1406,,ny,nyanyi
1408,,drpda,daripada
1409,,ngg,tidak
1416,,lht,lihat
1417,,ltg,lantai
1418,,mksi,makasi
1421,,pmn,pemain
1422,,prbl,perubahan
1424,,sktr,sekitar
1427,,sp,siapa
1430,,trima,terima
1431,,asap,secepatnya
1432,,brb,segera kembali
1436,,ikut,ikuti
1437,,ikutin,ikuti
1438,,kejap,sebentar
1439,,lns,langsung
1443,,oke,baiklah
1444,,oy,hai
1445,,smt pagi,selamat pagi
1447,,sore,selamat sore
1448,,sori,maaf
1449,,afk,away from keyboard
1450,,alham,alhamdulillah
1451,,bbm,blackberry messenger
1456,,dtr,datang
1457,,dulu,sebelumnya
1459,,grt,gratis
1462,,ht,kesehatan
1463,,idk,I don't know
1464,,ik,ikut
1465,,iyaa,iya
1467,,kapann,kapan
1468,,kenapaa,kenapa
1470,,pndk,pendek
1471,,sbk,sebab
1472,,sll,selalu
1473,,sngguh,benar-benar
1474,,sny,senyum
1475,,spd,sepeda
1476,,srta,serta
1477,,tdak,tidak
1479,,trm,terima
1480,,wlpn,walaupun
1481,,ya,iya
1482,,br,baru
1489,,mks,makasih
1493,,trkdg,terkadang
1496,,dp,depan
1497,,drm,dream
1499,,mnrk,menarik
1500,,nt,kata
1503,,ttd,tanda tangan
1508,,sbab,sebab
1515,,smngat,semangat
1519,,akn,akan
1520,,bb,balas
1523,,cmiiw,correct me if I'm wrong
1526,,gbs,gak bisa
1527,,ig,instagram
1528,,no,tidak
1529,,pnt,penat
1530,,sllh,salah
1531,,sllhkn,salahkan
1532,,sllhn,silahkan
1533,,wkwj,tertawa
1534,,yuk,ayo
1535,,wkwk,tertawa
1536,,wkwkwk,tertawa
1537,,wkwkwkwk,tertawa
1538,,wkwkwkwkwk,tertawa
1539,,ni,ini
1540,,be fun,bersenang-senang
1541,,be happy,bersenang-senang
1542,,be nice,bersenang-senang
1543,,haha,tertawa
1544,,hahaha,tertawa
1545,,manaa,mana
1546,,lahh,lah
1547,,mmngnya,memangnya
1548,,mna,mana
1549,,bnaget,banget
1550,,pliss,tolong
1551,,plisss,tolong
1552,,ternyta,ternyata
1553,,kene,kena
1554,,anjimm,anjing
1555,,anjingg,anjing
1556,,anjir,anjing
1557,,anjrit,anjing
1558,,anjrittt,anjing
1559,,tyhan,tuhan
1560,,tuhann,tuhan
1561,,yoo,ayo
1562,,yow,ayo
1563,,prik,Freak
1564,,anjrott,anjing
1565,,anjay,anjing
1566,,mlu,mulu
1567,,molo,malu
1568,,gov,goverment
1569,,goverment,government
1570,,cok,jancok
1571,,jancokk,jancok
1572,,elu,kamu
1573,,lo,kamu
1574,,lu,kamu
1575,,anjim,anjing
1576,,ajgg,anjing
1577,,jamam,jaman
